cardID,bigint1
107041,138654615614403
107042,501998092409283
107043,285927948336877
107044,194252939914643
107045,348013473152106
107046,138599071586868
107047,270604556594765
107048,416171750453902
107049,433352601849487
107050,484356388351948
107051,557057713695556
107052,556525160286490
107053,172217600699591
107054,477239911500471
107055,468543660404029
107056,488875946192073
107057,209028691356876
107058,466920179348068
107059,459857910850510
107060,162867264310478
107061,488737690455629
107062,243565870572622
107063,538968654236309
107064,491088097069590
107065,486246588487828
107066,490570146685296
107067,430580362879511
107068,486040356500868
107069,262939131148134
107070,333372837747137
107071,434667271757506
107072,336567539015105
107073,112590193237400
107074,349864973064902
107075,399286261494980
107076,484373942908348
107077,466748508992412
107078,466782835679169
107079,261839667257232
107080,209100495060229
107081,467160511602492
107082,490421070028097
107083,484547956913300
107084,484391123106965
107085,260090834920988
107086,310223724213700
107087,275995026518979
107088,486298047067661
107089,464047312614169
107090,468603884953542
107091,260087173845907
107092,537147232400658
107093,130856409652966
107094,65023284895299
107095,341997135355462
107096,342099131718727
107097,58735316261959
107098,342099135896774
107099,210479810240690
107101,531344260076925
107102,189522094419468
107103,44340664797021
107104,375623392891199
107105,358034690578877
107106,485273781414084
107107,344272143456493
107108,451315244299823
107109,454692723434357
107110,494420326596772
107111,533933263873625
107112,505561791915541
107113,354929353287253
107114,485634180933381
107115,485212464751421
107116,164485645370315
107117,78248356004397
107118,151180798693616
107119,173266575283808
107120,93138651278879
107121,376613321510416
107122,389245243603879
107123,499855326583092
107124,130322367568060
107125,356849116884377
107126,498772443720941
107127,359031259335574
107128,306427175193816
107129,389521543425374
107130,508736336112466
107131,363407575462329
107132,499767129722832
107133,376366308079845
107134,123840199801267
107135,385520697568888
107136,499370941557381
107137,124123646078153
107138,508346091002468
107139,356909694822174
107140,123941595945417
107141,401122810137142
107142,499792506281139
107143,363343801232750
107144,360345386626117
107145,90943654754530
107146,77580470114757
107147,365703968141553
107148,165543135388869
107149,535037100395597
107150,266237928982998
107151,251242733353799
